Number,E-Word,EP-Word,Val-M,Val-SD,Arou-M,Arou-SD,Dom-M,Dom-SD,Freq,Nlett,Nsyll ,GClass,Neigh
289,murderer,homicida,2.32,1.84,7.14,1.81,3.22,2.24,6.05,8,4,ADJ/N,0
290,muscular,musculado,6.46,1.69,5.08,2.00,4.86,2.19,0.62,9,4,ADJ,UnAv
291,music,música,7.80,1.29,4.29,2.92,6.06,2.67,153.67,6,3,N,1
292,mutilate,mutilar,1.84,1.72,7.10,2.04,3.50,2.32,5.37,7,3,V,1
293,nature,natureza,7.78,1.31,3.80,2.89,5.23,2.81,142.99,8,4,N,0
294,nectar,néctar,5.83,1.44,3.96,1.84,5.32,0.99,1.48,6,2,N,0
295,nightmare,pesadelo,2.32,1.47,7.39,2.13,3.05,1.43,19.19,8,4,N,0
296,nonchalant,desinteressado,2.47,1.30,3.00,1.87,4.33,2.24,2.34,14,6,ADJ,0
297,ocean,oceano,7.59,1.34,2.83,2.07,5.54,2.36,17.09,6,4,N,0
298,opinion,opinião,6.22,1.48,5.09,2.23,6.04,2.01,198.33,7,4,N,0
299,orchestra,orquestra,5.97,1.48,4.03,2.55,4.79,2.41,33.99,9,3,N,1
300,overwhelmed,subjugado,2.95,1.39,5.68,2.33,3.33,2.06,UnAv,9,4,V,UnAv
301,pain,sofrimento,1.90,1.25,6.97,2.14,3.42,2.57,29.06,10,4,N,0
302,palace,palácio,6.97,1.48,4.14,2.29,5.52,2.22,53.42,7,3,N,0
303,paper,papel,5.27,1.44,3.52,2.20,6.25,1.70,291.85,5,2,N,0
304,paradise,paraíso,7.64,1.47,4.56,3.16,5.95,2.19,17.70,7,4,N,0
305,party,festa,7.66,1.28,6.69,1.83,6.09,2.43,135.41,5,2,N,12
306,passion,paixão,8.31,0.93,7.96,2.01,5.75,2.64,62.55,6,2,N,1
307,patent,patente,5.22,1.19,3.78,1.76,5.05,1.96,35.35,7,3,ADJ/N,4
308,peace,paz,7.97,1.20,2.03,1.80,6.43,2.69,107.46,3,1,N,4
309,pencil,lápis,5.48,1.40,3.71,1.94,5.57,2.04,15.73,5,2,N,0
310,perfection,perfeição,7.13,1.63,5.53,2.83,6.28,2.14,17.70,9,3,N,0
311,person,pessoa,6.30,1.65,4.09,2.39,5.92,1.87,889.61,6,3,N,1
312,pervert,pervertido,3.29,2.30,6.47,1.73,4.43,1.89,UnAv,10,4,V,UnAv
313,pest,peste,2.97,2.02,5.92,2.12,4.05,2.25,9.25,5,2,N,9
314,pie,tarte,7.05,1.30,4.62,2.27,5.60,1.87,7.65,5,2,N,UnAv
315,pillow,almofada,6.69,2.02,2.64,2.36,5.33,2.11,7.96,8,4,N,1
316,plant,planta,6.28,1.13,3.56,1.94,5.55,2.04,72.42,6,2,N,2
317,pleasure,prazer,8.19,0.96,6.70,2.74,7.00,2.07,64.96,6,2,N/V,2
318,poetry,poesia,6.30,1.51,3.57,2.40,4.81,1.89,50.03,6,4,N,0
319,poison,peçonha,2.83,2.15,4.06,3.17,3.22,2.26,0.86,7,3,N,0
320,politeness,cortesia,6.52,1.39,4.13,2.08,5.36,2.06,5.12,8,4,N,0
321,pollute,poluir,2.32,1.08,6.22,1.92,4.81,1.97,6.60,6,3,V,1
322,poverty,pobreza,2.00,1.53,5.96,2.60,3.67,2.31,29.73,7,3,N,1
323,power,poder,6.36,1.62,5.50,2.25,6.70,2.03,2936.44,5,2,N/V,1
324,powerful,poderoso,6.17,1.62,5.63,2.24,6.45,2.24,44.17,8,4,ADJ,0
325,prairie,pradaria,6.11,1.57,2.77,1.94,5.58,2.41,1.85,8,4,N,1
326,pretty,linda,7.82,1.09,4.40,3.08,5.38,3.04,0.86,5,2,N,UnAv
327,pride,orgulho,6.78,1.86,4.93,2.58,5.74,2.16,32.45,7,3,N,1
328,priest,padre,4.51,1.52,4.04,2.05,4.89,1.13,97.34,5,2,N,2
329,prison,prisão,2.13,1.14,5.47,2.41,3.94,2.45,88.03,6,2,N,0
330,privacy,privacidade,6.91,1.42,3.74,2.32,5.83,1.95,5.43,11,5,N,0
331,profit,lucro,6.67,2.08,5.35,2.31,5.70,1.17,50.34,5,2,N,0
332,promotion,promoção,7.32,1.81,6.48,2.16,5.40,2.35,50.28,8,3,N,0
333,protected,protegido,7.00,1.68,2.88,2.03,5.55,2.42,9.44,9,4,ADJ,UnAv
334,proud,orgulhoso,5.78,2.46,5.34,2.34,5.97,1.66,11.41,9,4,ADJ/N,0
335,punishment,castigo,2.65,1.58,6.00,2.06,4.08,2.15,28.13,7,3,N,1
336,puppy,cãozinho,7.21,1.79,3.96,2.95,6.34,2.16,UnAv,8,3,N,UnAv
337,putrid,putrefacto,2.48,2.06,4.96,2.52,3.11,2.56,0.56,10,4,ADJ,0
338,quarrel,desavença,2.65,1.93,6.06,2.59,4.77,2.20,2.41,9,4,N,0
339,quiet,sossegado,6.54,1.23,2.04,1.49,5.96,2.90,3.95,9,4,ADJ,0
340,rabies,raiva,2.64,1.47,7.06,1.89,4.44,2.06,21.22,5,2,N,1
341,radio,rádio,6.96,1.43,4.85,2.57,5.86,2.22,69.65,5,2,N,0
342,rage,cólera,2.56,1.68,7.19,1.94,3.73,2.13,12.95,6,3,N,0
343,rainbow,arco-íris,7.42,1.16,3.41,2.22,4.71,2.54,2.71,9,3,N,0
344,rape,violação,1.76,1.81,8.13,1.56,3.68,2.73,21.16,8,4,N,0
345,rat,ratazana,2.74,1.73,6.06,2.27,4.09,2.13,2.28,8,4,N,0
346,rattle,chocalho,5.17,1.48,4.41,2.03,4.86,1.56,0.99,8,3,N,0
347,refreshment,refresco,6.85,1.44,4.03,2.58,6.06,1.88,1.67,8,3,N,0
348,regretful,pesaroso,2.73,1.40,3.69,2.57,4.80,2.55,1.23,8,4,ADJ,0
349,rejected,rejeitado,2.33,1.49,6.09,2.02,4.07,2.08,UnAv,9,4,V,UnAv
350,relaxed,relaxado,7.27,1.35,1.87,1.36,6.29,3.07,UnAv,8,4,V,UnAv
351,repentant,arrependido,3.54,1.63,5.43,2.18,4.95,1.86,UnAv,11,5,V,0
352,rescue,salvamento,6.92,1.63,5.39,2.40,5.50,2.00,2.78,10,4,N,0
353,reserved,reservado,4.55,1.28,3.03,2.08,4.59,2.06,7.65,9,4,ADJ,UnAv
354,respect,respeito,7.57,1.40,3.16,2.33,6.35,2.35,147.07,8,3,N,2
355,respectful,respeitador,7.48,1.20,3.92,2.31,7.13,1.36,1.97,11,4,ADJ,UnAv
356,reverent,reverencioso,3.25,2.43,2.92,2.69,3.50,3.29,UnAv,12,6,ADJ,UnAv
357,revolt,revolta,3.78,2.02,6.37,2.22,4.28,2.47,35.84,7,3,N,2
358,reward,recompensa,7.06,1.52,5.74,2.34,5.71,1.87,5.80,10,4,N,1
359,riches,riqueza,7.03,1.28,4.33,1.92,5.54,1.77,53.85,7,3,N,0
360,ridicule,ridículo,3.56,1.66,5.42,1.72,4.69,2.05,24.18,8,4,ADJ/N,0
361,riot,motim,3.95,1.87,6.34,1.52,4.47,2.02,3.39,5,2,N,2
362,river,rio,6.81,1.40,3.80,2.10,5.81,1.79,184.70,3,2,N,18
363,roach,centopeia,3.28,1.83,4.87,2.20,5.07,1.85,UnAv,9,4,N,0
364,romantic,romântico,8.23,1.04,5.47,2.84,6.00,2.43,24.49,9,4,ADJ,1
365,rotten,podre,2.53,1.56,5.11,1.91,4.21,1.61,11.10,5,2,ADJ/N,4
366,rude,rude,2.86,1.38,5.38,2.28,3.77,1.98,11.17,4,2,ADJ,3
367,rusty,enferrujado,3.62,1.33,4.23,1.57,4.57,1.54,0.56,11,5,ADJ,UnAv
368,sad,triste,1.89,1.18,5.23,2.34,3.39,2.59,77.60,6,2,ADJ/N,1
369,salad,salada,5.90,1.56,4.34,2.26,5.56,2.17,10.61,6,3,N,3
370,salute,saudação,6.70,1.37,3.92,2.45,5.48,2.49,3.82,8,3,N,1
371,sapphire,safira,6.49,1.38,4.14,1.84,5.00,1.58,1.97,6,3,N,1
372,satisfied,satisfeito,7.49,1.41,4.53,2.86,6.32,2.33,45.96,10,4,ADJ,0
373,savior,salvador,6.84,1.25,4.71,2.64,5.22,2.33,6.42,8,3,ADJ/N,1
374,scholar,erudito,5.08,2.48,4.38,2.04,4.48,2.29,7.09,7,4,ADJ/N,0
375,scorn,desdém,2.84,1.67,5.72,2.59,5.12,2.45,5.98,6,2,N,0
376,scornful,desprezador,2.19,1.39,6.00,1.81,3.76,2.61,UnAv,11,4,ADJ/N,UnAv
377,scum,escumalha,3.15,1.51,5.93,1.75,4.41,1.93,0.37,9,4,N,0
378,scurvy,escorbuto,2.23,1.87,4.94,2.37,4.76,2.81,0.93,9,4,N,0
379,seasick,enjoado,3.21,1.41,5.30,2.40,3.82,2.28,UnAv,7,4,V,0
380,seat,assento,5.23,1.27,3.39,1.79,5.65,1.39,11.29,7,3,N,3
381,secure,assegurar,6.21,1.12,4.36,2.18,5.21,2.09,113.14,9,4,V,0
382,selfish,egoísta,2.42,1.40,5.91,2.19,4.56,2.49,8.02,7,4,ADJ/N,0
383,serious,sério,4.63,0.75,3.80,2.02,5.21,1.45,88.77,5,2,ADJ/ADV/N,1
384,sex,sexo,7.27,1.40,5.55,3.50,6.27,1.68,54.29,4,2,N,7
385,shadow,sombra,5.07,1.50,4.16,1.99,4.81,1.96,100.61,6,2,N,1
386,shamed,envergonhado,3.38,1.60,5.47,1.46,2.55,1.29,6.23,12,5,ADJ,0
387,sheltered,abrigado,6.17,1.39,3.50,2.14,5.90,1.67,0.80,8,4,ADJ,UnAv
388,ship,navio,5.43,1.23,3.80,1.70,4.58,2.22,54.96,5,3,N,1
389,shy,acanhado,3.85,1.37,3.60,2.06,4.05,2.03,0.62,8,4,ADJ,1
390,sickness,enfermidade,2.44,1.32,5.74,1.86,3.72,2.06,2.47,11,5,N,0
391,silk,seda,6.50,1.58,4.21,2.47,5.46,2.20,28.81,4,2,N,8
392,sin,pecado,4.83,1.59,5.26,1.88,5.00,2.40,16.66,6,3,N,4
393,sinful,pecaminoso,3.44,1.85,4.89,1.80,4.81,2.00,0.99,10,5,ADJ,0
394,sissy,maricas,4.50,1.35,4.41,1.96,5.35,1.94,1.79,7,3,ADJ/N,UnAv
395,skeptical,céptico,4.29,1.59,4.35,1.90,4.60,1.50,5.55,7,3,ADJ/N,1
396,slap,bofetada,2.48,1.39,6.36,2.39,4.95,2.20,3.89,8,4,N,0
397,slaughter,chacina,2.19,1.73,6.00,2.95,3.11,2.37,1.91,7,3,N,1
398,slave,escravo,1.84,1.12,5.94,2.36,3.48,1.96,31.65,7,3,ADJ/N,1
399,sleep,dormir,7.66,1.49,1.76,1.51,6.33,2.77,117.27,6,2,V,0
400,slime,lodo,3.38,2.08,4.67,2.37,4.55,2.28,8.57,4,2,N,9
401,slum,favela,2.57,1.33,6.07,1.84,4.67,1.59,1.05,6,3,N,2
402,smallpox,varíola,2.58,1.59,5.61,1.85,4.12,2.13,4.38,7,4,N,0
403,snob,snobe,3.65,1.53,4.10,2.23,4.26,1.99,UnAv,5,2,N,0
404,snuggle,aconchegar-se,8.00,1.38,1.94,1.89,6.25,2.72,UnAv,13,4,V,UnAv
405,solemn,solene,5.18,2.24,3.05,1.61,5.47,1.54,20.48,6,3,ADJ,0
406,spirit,espírito,5.68,1.98,3.76,2.24,5.63,2.29,126.77,8,4,N,1
407,spouse,cônjuge,6.79,2.00,5.10,2.61,5.22,1.77,3.08,7,3,N,0
408,square,quadrado,5.14,0.72,4.06,1.73,5.37,1.79,45.28,8,3,ADJ/N,0
409,star,estrela,7.08,1.67,3.38,2.27,5.19,2.62,83.46,7,3,N,3
410,startled,sobressaltado,3.74,1.56,6.79,1.76,4.15,1.68,UnAv,13,5,V,UnAv
411,stink,fedorento,2.50,1.17,5.30,1.92,4.14,1.46,0.93,9,4,ADJ,0
412,street,rua,5.50,1.40,4.94,1.97,5.08,1.67,244.35,3,2,N,7
413,stress,stress,2.27,1.44,6.97,2.22,4.26,2.59,9.99,6,1,N,UnAv
414,strong,forte,6.84,1.52,5.15,2.57,6.07,1.96,242.25,5,2,ADJ/N,6
415,stupid,estúpido,3.81,1.39,5.61,1.41,4.64,1.82,18.07,8,4,ADJ/N,0
416,subdued,dominado,3.54,1.69,5.66,2.44,4.24,2.63,UnAv,8,4,V,UnAv
417,success,sucesso,8.06,1.27,5.59,2.41,6.44,1.71,82.72,7,3,N,2
418,suffocate,sufocar,1.90,1.21,7.12,2.20,3.56,2.31,10.73,7,3,V,0
419,suicide,suicídio,1.50,0.94,7.06,1.80,4.30,3.09,17.70,8,3,N,0
420,sunrise,amanhecer,7.42,1.42,3.57,2.62,6.00,2.22,7.46,9,4,V,0
421,sunset,ocaso,3.86,2.74,2.79,2.49,3.26,2.60,1.42,5,3,N,1
422,surprised,surpreendido,6.51,1.15,6.60,1.81,5.21,2.20,14.56,12,5,ADJ,UnAv
423,suspicious,desconfiado,3.57,1.20,5.78,1.65,4.81,1.83,6.05,11,5,ADJ,0
424,sweetheart,namorado,7.67,1.46,5.72,2.96,6.32,2.15,14.44,8,4,N,0
425,syphilis,sífilis,2.29,1.30,6.76,1.92,4.06,2.46,3.27,7,3,N,UnAv
426,table,mesa,5.30,1.29,3.60,1.96,5.19,1.91,164.83,4,2,N,5
427,talent,talento,7.28,1.28,5.62,2.47,6.18,1.66,26.46,7,3,N,1
428,tense,tenso,3.08,1.23,5.83,1.69,3.20,1.85,6.60,5,2,ADJ,10
429,termite,térmite,2.45,2.05,3.46,2.72,3.30,2.49,0.37,7,3,N,UnAv
430,terrible,terrível,2.65,1.58,6.09,2.15,3.93,2.30,40.84,8,3,ADJ/N,0
431,terrific,genial,7.63,1.59,5.73,2.13,6.69,1.57,7.77,6,3,ADJ,1
432,terrified,aterrorizado,2.60,1.62,6.81,1.88,4.08,2.02,UnAv,12,6,V,UnAv
433,thankful,grato,7.18,1.28,2.90,1.71,5.50,2.54,7.90,5,2,ADJ,5
434,theory,teoria,5.00,1.43,4.15,1.56,5.54,1.69,61.69,6,4,N,0
435,thief,ladrão,2.32,1.30,7.59,1.15,3.59,2.47,20.30,6,2,ADJ/N,1
436,thorn,espinho,3.91,1.59,5.04,1.91,4.11,2.56,4.69,7,3,N,2
437,thoughtful,atencioso,7.48,1.09,4.62,2.54,5.06,2.46,1.73,9,5,ADJ,0
438,thrill,excitação,6.93,1.49,7.49,1.90,6.14,2.24,8.88,9,4,N,0
439,time,tempo,5.67,1.65,4.72,1.97,4.28,1.97,1104.35,5,2,N,3
440,timid,tímido,4.10,1.42,3.70,1.58,4.27,1.99,16.72,6,3,ADJ/N,1
441,tobacco,tabaco,3.40,1.98,4.59,2.44,5.22,2.90,21.71,6,3,N,0
442,tomb,sepultura,2.00,1.20,5.96,2.62,3.11,2.37,34.85,9,4,N,0
443,toothache,dor-de-dente,1.84,1.39,6.70,2.05,3.43,2.53,UnAv,12,2,N,UnAv
444,tornado,tornado,3.21,1.76,6.71,1.76,3.50,2.43,12.83,7,3,N,0
445,torture,tortura,1.42,0.72,7.00,2.35,3.00,2.39,12.46,7,3,N,2
446,toxic,tóxico,2.73,1.42,6.10,1.52,4.54,1.86,16.35,6,3,ADJ/N,2
447,tragedy,tragédia,2.11,1.71,6.89,2.04,3.57,2.59,46.70,8,3,N,0
448,traitor,traidor,2.00,1.15,7.12,1.72,3.83,2.31,4.13,7,2,N,0
449,treasure,tesouro,7.09,1.28,5.46,2.32,5.05,1.89,15.36,7,3,N,2
450,tree,árvore,6.62,1.44,3.60,2.31,5.96,1.83,119.18,6,3,N,0
451,triumph,triunfo,7.22,1.86,5.59,2.48,5.20,1.99,50.46,7,3,N,1
452,triumphant,triunfante,7.83,1.17,5.91,2.52,7.22,1.31,4.63,10,4,ADJ,0
453,trophy,troféu,6.95,1.51,5.03,2.67,6.07,2.12,12.71,6,2,N,0
454,trouble,problema,3.50,1.96,6.66,2.01,4.71,2.47,496.47,8,3,N,0
455,troubled,preocupado,3.58,1.33,6.67,1.93,4.05,1.84,39.23,10,5,ADJ,UnAv
456,trumpet,trombeta,5.04,1.40,4.11,1.88,5.27,2.00,1.42,8,3,N,0
457,trust,confiança,7.76,1.06,4.45,2.93,7.23,2.25,74.89,9,4,N,0
458,truth,verdade,7.83,1.48,3.78,2.99,6.72,2.15,267.61,7,3,N,1
459,tumor,tumor,1.46,0.98,7.17,1.87,2.71,2.60,6.17,5,2,N,4
460,ugly,feio,2.74,1.46,4.47,2.25,4.30,1.42,20.73,4,2,ADJ/N,10
461,ulcer,úlcera,3.13,1.52,5.81,2.10,3.97,2.03,2.04,6,3,N,0
462,unfaithful,infiel,2.00,1.36,6.62,2.35,4.31,2.68,4.19,6,3,ADJ/N,0
463,unhappy,infeliz,1.47,0.68,5.50,2.19,3.25,2.29,21.90,7,3,ADJ/N,0
464,untroubled,tranquilo,7.30,0.92,2.12,2.07,7.04,2.19,26.53,9,3,ADJ,0
465,upset,transtornado,2.56,1.16,5.80,2.07,4.25,1.69,0.86,12,4,ADJ,UnAv
466,useful,útil,7.57,1.29,4.45,2.24,6.83,1.82,50.28,4,2,ADJ/N,1
467,useless,inútil,2.82,1.33,5.16,1.90,3.44,1.53,28.87,6,3,ADJ/N,0
468,vacation,férias,8.30,1.19,4.36,3.16,6.59,2.42,UnAv,6,1,N,1
469,valentine,apaixonado,8.22,1.24,7.03,2.80,5.41,2.37,17.58,10,5,ADJ,0
470,vampire,vampiro,4.10,1.85,4.84,2.73,4.07,2.21,2.28,7,3,N,0
471,vandal,vândalo,2.55,1.60,6.81,1.53,3.81,2.43,5.18,7,3,ADJ/N,1
472,vanity,vaidade,4.45,1.58,5.00,1.71,5.08,1.71,11.78,7,3,N,2
473,vehicle,veículo,5.68,1.12,5.24,2.21,5.59,2.34,60.02,7,4,N,0
474,venom,veneno,2.25,1.24,6.17,1.53,3.46,1.88,8.27,6,3,N,0
475,victory,vitória,7.68,1.39,6.50,2.87,7.13,3.01,191.17,7,3,N,0
476,vigorous,vigoroso,6.43,1.50,4.72,2.41,5.43,2.39,9.62,8,4,ADJ,1
477,village,povoação,5.61,1.00,4.92,1.50,5.04,1.81,32.14,8,4,N,0
478,violent,violento,2.31,1.51,7.07,1.84,4.63,2.57,51.39,8,4,ADJ,0
479,virtue,virtude,7.36,1.40,3.35,2.49,6.20,2.15,42.57,7,3,N,0
480,vision,visão,6.46,1.98,3.90,2.29,5.58,2.55,62.80,5,2,N,6
481,vomit,vómito,2.40,1.22,5.75,2.08,3.81,2.45,6.54,6,3,N,0
482,war,guerra,2.14,1.51,5.18,2.67,3.10,2.10,226.03,6,2,N,1
483,warmth,calor,6.59,2.31,5.26,2.28,5.69,2.41,80.87,5,2,N,3
484,wasp,vespa,3.71,1.62,5.77,2.25,3.92,1.87,2.84,5,2,N,0
485,waste,desperdício,2.73,1.30,5.87,1.82,4.18,2.10,8.94,11,4,N,1
486,water,água,7.13,1.56,3.59,2.64,5.79,2.23,514.98,4,2,N,3
487,waterfall,cascata,7.31,1.35,3.66,1.93,4.91,2.24,5.80,7,3,N,0
488,wealthy,endinheirado,6.59,1.85,4.52,2.20,4.94,2.67,1.67,12,5,ADJ,0
489,weapon,arma,2.81,1.64,6.70,2.02,3.62,2.30,110.42,4,2,N,8
490,weary,cansado,2.90,0.79,4.43,2.59,5.53,2.17,34.42,7,3,ADJ,2
491,wedding,casamento,6.59,1.95,5.11,2.72,6.09,2.08,83.71,9,4,N,0
492,whore,rameira,3.86,2.26,4.75,2.69,4.00,2.05,UnAv,7,3,ADJ/N,0
493,wicked,malvado,2.43,1.17,6.77,1.52,3.86,1.81,2.96,7,3,ADJ/N,0
494,win,ganhar,7.97,1.07,7.32,1.85,5.84,2.64,319.73,6,2,V,1
495,window,janela,6.18,1.42,3.33,2.07,5.55,2.10,127.02,6,3,N,3
496,wine,vinho,5.78,1.61,4.67,2.56,5.96,2.19,142.99,5,2,N,6
497,wise,sábio,7.26,1.36,3.88,1.95,6.07,2.18,18.20,5,2,ADJ/N,1
498,woman,mulher,6.91,1.65,4.59,2.47,5.63,2.20,625.71,6,2,N,0
499,wonder,admiração,7.06,1.30,5.03,2.40,5.58,2.01,15.98,9,4,N,0
500,world,mundo,7.02,1.81,4.77,2.60,5.34,2.41,477.96,5,2,N,4
501,astronaut,astronauta,5.57,0.88,4.42,1.72,5.90,1.65,4.01,10,4,N,0
502,bath,banho,7.41,1.24,3.08,2.43,6.97,2.32,70.82,5,2,N,10
503,cash,numerário,4.53,1.55,3.93,2.12,4.71,1.68,1.60,9,4,N,0
504,cat,gato,6.49,1.54,4.00,2.02,5.80,2.29,35.90,4,2,N,14
505,chocolate,chocolate,7.79,1.34,4.22,2.78,6.81,2.57,13.45,9,4,N,0
506,couple,casal,6.89,2.03,5.36,2.22,5.38,2.20,57.93,5,2,N,7
507,dancer,bailarino,6.48,1.32,4.30,2.11,4.72,1.87,8.64,9,4,N,1
508,desire,anseio,4.21,1.58,6.59,1.85,3.75,1.98,7.53,6,3,N,1
509,dinner,jantar,6.80,1.26,4.32,2.06,5.61,2.11,104.13,6,2,N/V,2
510,diver,mergulhador,5.57,1.29,3.63,2.16,5.12,2.37,1.67,11,4,N,0
511,dog,cão,7.13,1.39,4.79,2.61,4.42,2.47,72.92,3,1,N,10
512,erotic,erótico,6.42,1.27,5.58,2.77,6.41,1.89,6.97,7,4,ADJ,1
513,fireworks,fogo-de-artifício,6.75,2.00,6.24,1.94,5.00,2.36,5.24,17,5,N,0
514,food,comida,6.83,1.88,4.64,2.60,5.96,2.27,32.51,6,3,N,0
515,gymnast,ginasta,5.63,1.17,4.40,2.18,5.67,1.46,1.97,7,3,N,UnAv
516,infatuation,capricho,4.55,1.59,4.91,2.43,3.85,2.17,11.29,8,3,N,0
517,kitten,gatinho,6.97,1.74,2.94,1.97,5.58,1.93,UnAv,7,3,V/N,UnAv
518,lion,leão,5.52,1.94,5.48,2.08,4.52,2.37,30.29,4,2,N,4
519,lust,luxúria,5.86,1.81,5.31,1.73,5.56,2.04,2.10,7,3,N,0
520,nude,despido,5.52,2.05,5.68,2.58,5.04,1.93,UnAv,7,3,V,0
521,outdoors,exterior,6.09,1.24,4.08,2.65,5.71,1.87,87.04,8,4,ADJ/N,0
522,owl,coruja,5.08,1.76,3.79,1.97,4.87,1.38,3.15,6,3,N,2
523,pancakes,crepe,7.06,1.73,4.63,2.28,5.59,2.10,3.02,5,2,N,2
524,pasta,massa,6.32,1.33,3.56,2.08,5.93,1.64,112.21,5,2,N,5
525,people,gente,6.07,1.39,4.93,2.09,5.26,1.68,427.32,5,2,N,7
526,pizza,pizza,7.10,1.37,4.41,2.00,6.33,1.43,1.73,5,2,N,UnAv
527,rabbit,coelho,5.88,1.61,3.75,2.16,5.17,2.36,9.62,6,3,N,2
528,rollercoaster,montanha-russa,6.44,1.92,7.70,1.72,4.57,2.46,UnAv,14,4,N,UnAv
529,sailboat,veleiro,6.21,1.45,3.42,2.34,5.50,2.42,5.37,7,3,N,3
530,sexy,sexy,7.05,1.32,5.98,2.25,6.03,2.04,1.23,4,2,ADJ,UnAv
531,skijump,baloiço,6.98,1.46,4.14,2.21,6.18,2.21,2.28,7,3,N,0
532,sun,sol,8.00,1.06,4.80,3.01,6.27,2.63,130.53,3,1,N,7
533,clouds,nuvens,6.62,2.20,3.50,2.72,6.19,2.54,UnAv,6,2,N,UnAv
534,garter,liga,5.18,1.61,4.58,1.89,5.17,1.48,25.91,4,2,N,8
535,golfer,golfista,4.89,1.30,3.85,2.00,5.19,1.35,1.30,8,3,N,UnAv
536,hawk,falcão,5.23,1.50,4.80,2.38,4.52,2.37,3.27,6,2,N,1
537,man,homem,6.67,1.42,5.42,1.71,5.38,1.24,863.76,5,2,N,0
538,nurse,enfermeira,5.64,1.28,4.24,1.56,5.00,1.83,UnAv,10,4,ADJ/N,UnAv
539,plane,avião,6.75,1.61,4.58,2.62,4.22,1.87,69.58,5,3,N,2
540,tennis,ténis,5.72,1.37,4.09,2.11,5.03,1.66,22.45,5,2,N,1
541,bus,autocarro,4.43,1.48,4.59,2.24,5.05,1.86,40.16,9,4,N,0
542,white,branco,6.33,1.47,2.67,2.03,5.81,2.24,243.79,6,2,ADJ/N,6
543,black,preto,5.42,1.92,3.94,1.81,5.31,1.57,62.31,5,2,ADJ/N,6
544,blue,azul,6.47,1.90,4.13,2.21,5.26,2.31,104.93,4,2,ADJ/N,0
545,yellow,amarelo,5.71,1.51,4.13,1.89,5.45,1.80,73.53,7,4,ADJ/N,1
546,adult,adulto,5.52,1.23,3.84,1.91,6.00,2.30,47.75,6,3,ADJ/N,1
547,basket,cesto,5.36,0.66,4.11,1.84,5.05,2.01,17.46,5,2,N,8
548,bathroom,sanitário,4.10,1.81,3.60,2.29,4.70,1.66,29.49,9,4,ADJ/N,0
549,bed,cama,7.02,1.32,2.44,1.99,5.54,2.61,115.05,4,2,N,21
550,building,edifício,5.21,1.19,3.94,2.03,4.91,2.06,136.39,8,4,N,0
551,car,carro,5.97,1.61,4.30,2.80,5.32,2.02,180.69,5,2,N,14
552,computer,computador,6.73,1.46,5.22,2.68,6.00,2.05,100.98,10,4,N,1
553,cliff,precipício,2.97,1.46,6.71,1.69,3.87,2.42,4.26,10,4,N,0
554,cow,vaca,5.07,1.59,3.80,1.79,5.28,1.71,33.00,4,2,N,12
555,dustpan,apanhador,4.46,1.28,4.44,2.03,5.06,2.25,UnAv,9,4,ADJ/N,UnAv
556,face,face,6.15,1.23,3.88,2.00,5.00,1.13,72.36,4,2,N,3
557,farm,quinta,5.91,1.57,4.12,2.07,5.04,1.56,29.92,6,2,N,4
558,field,campo,6.73,1.72,2.96,2.05,6.21,2.17,264.77,5,2,N,3
559,fish,peixe,5.67,1.41,3.62,2.08,5.33,2.14,94.88,5,2,N,1
560,fork,garfo,5.08,1.61,3.29,2.31,6.11,2.49,7.77,5,2,N,2
561,hairdryer,secador,5.09,0.96,3.85,1.80,4.89,1.72,1.67,7,3,N,UnAv
562,highway,auto-estrada,5.34,1.64,4.58,1.84,4.26,2.28,47.25,12,4,N,0
563,house,casa,8.00,1.12,3.85,2.71,5.91,2.58,783.26,4,2,N,19
564,hydrant,boca-de-incêndio,4.83,1.46,4.69,1.94,4.21,1.73,1.17,16,4,N,UnAv
565,iron,ferro,4.76,1.30,3.62,1.81,4.93,1.36,113.45,5,2,N,8
566,lightbulb,lâmpada,5.55,0.99,3.59,2.03,5.63,2.19,18.38,7,3,N,0
567,mushroom,cogumelo,5.48,1.63,3.88,2.03,5.52,2.23,16.04,8,4,N,0
568,office,escritório,4.89,0.99,4.56,1.94,4.66,1.37,40.78,10,4,N,0
569,rain,chuva,4.63,2.10,4.44,2.43,3.96,2.17,113.45,5,2,N,2
570,red,vermelho,5.05,1.68,4.97,1.83,5.77,1.82,90.81,8,3,ADJ/N,1
571,runner,atleta,6.23,1.31,5.29,2.14,5.13,1.67,50.65,6,3,N,0
572,sky,firmamento,5.61,1.40,2.95,1.69,5.14,1.59,2.96,10,4,N,0
573,skyscraper,arranha-céu,5.33,1.55,4.67,1.84,4.73,1.48,UnAv,11,3,N,UnAv
574,space,espaço,6.22,1.25,3.29,2.31,5.47,2.07,834.15,6,3,N,0
575,snow,neve,6.62,1.57,4.06,2.32,5.41,2.05,52.07,4,2,N,4
576,swimmer,nadador,6.14,1.47,4.72,1.98,5.25,2.12,5.31,7,3,ADJ/N,0
577,truck,camião,4.86,0.52,3.58,2.09,5.72,1.75,31.65,6,3,N,1
578,umbrella,guarda-chuva,4.07,1.59,4.00,2.15,4.72,1.99,4.01,12,4,N,UnAv
579,violin,violino,7.00,1.51,3.27,2.22,5.27,1.83,12.83,7,4,N,0
580,watch,vigilância,4.94,1.74,4.68,1.94,4.81,2.02,26.09,10,4,N,0
