Number,E-Word,EP-Word,Val-M,Val-SD,Arou-M,Arou-SD,Dom-M,Dom-SD,Freq,Nlett,Nsyll ,GClass,Neigh
66,chair,cadeira,5.17,1.07,3.85,1.84,4.61,1.83,70.20,7,3,N,8
67,champion,vencedor,7.64,1.61,6.45,2.32,6.83,2.49,62.06,8,3,ADJ/N,1
68,charm,encanto,7.33,1.29,4.51,2.67,6.22,2.27,23.38,7,3,N,2
69,cheer,ânimo,7.38,1.50,5.45,2.86,6.10,1.80,19.25,5,3,N,0
70,child,criança,7.89,1.03,5.07,2.46,5.86,2.24,348.66,7,3,N,0
71,church,igreja,4.52,1.60,3.57,2.04,3.84,2.17,99.63,6,3,N,0
72,circus,circo,5.52,2.31,5.91,2.18,4.50,2.13,12.15,5,2,N,4
73,city,cidade,5.85,1.22,4.59,2.13,4.94,1.83,560.13,6,3,N,1
74,clothing,roupa,6.24,1.50,4.45,2.45,6.44,1.74,73.29,5,2,N,1
75,cockroach,barata,3.93,2.42,5.83,2.32,5.19,2.24,8.76,6,3,N,3
76,coffin,caixão,1.75,1.56,5.63,3.01,5.00,2.69,12.21,6,2,N,2
77,comedy,comédia,7.77,1.22,5.61,2.43,5.96,2.14,20.23,7,3,N,0
78,concentrate,concentrado,6.19,1.47,4.33,2.15,6.50,1.95,16.04,11,4,ADJ,0
79,confident,confiante,7.46,1.49,3.87,2.64,7.24,2.60,18.44,9,4,ADJ,UnAv
80,confused,confuso,3.64,1.22,5.74,2.15,3.68,2.39,18.38,7,3,ADJ,2
81,consoled,consolado,6.13,1.55,3.82,2.26,5.90,2.14,UnAv,9,4,V,UnAv
82,contempt,desprezo,1.85,0.93,6.36,1.81,4.57,2.36,13.02,8,3,N,0
83,contents,conteúdo,5.42,1.50,3.76,1.74,4.52,1.39,36.46,8,4,N,0
84,context,contexto,5.10,0.66,4.04,2.07,5.50,1.19,62.98,8,3,N,0
85,controlling,controlador,3.85,1.92,4.68,2.40,5.61,2.70,4.50,11,4,N,UnAv
86,corpse,cadáver,1.77,1.15,6.55,1.93,3.96,3.09,26.40,7,3,N,0
87,cottage,cabana,6.22,1.51,3.10,2.01,4.79,2.01,12.03,6,3,N,5
88,cozy,acolhedor,7.49,1.38,2.63,2.03,6.06,2.42,4.26,9,4,ADJ/N,0
89,crash,colisão,2.41,1.45,6.50,1.76,4.05,2.36,10.67,7,3,N,0
90,crown,coroa,5.66,1.30,3.94,1.71,4.61,1.81,22.89,5,3,N,7
91,crucify,crucificar,2.65,1.54,5.32,2.48,4.00,2.24,3.15,10,4,V,0
92,cruel,cruel,2.16,1.32,6.91,1.99,4.18,2.35,14.50,5,2,ADJ,0
93,crushed,esmagado,2.55,1.25,6.55,1.71,3.16,2.25,UnAv,8,4,V,UnAv
94,cuddle,aconchego,7.70,1.18,2.27,2.43,5.52,2.66,1.60,9,4,N,UnAv
95,curious,curioso,6.36,1.33,5.59,1.92,5.46,1.37,44.42,7,4,ADJ/N,1
96,custom,costume,5.22,1.13,3.88,1.84,4.85,1.66,57.12,7,3,N,1
97,cute,giro,7.00,1.67,4.31,1.88,5.63,1.78,12.09,4,2,ADJ/N,3
98,cyclone,ciclone,3.00,1.66,6.36,2.22,3.65,2.62,4.13,7,3,N,1
